,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,226,C1_EO_SKI_NE08_1,C1_EO_SKE_NE8K_1,กฟจ.สระแก้ว(PE.Sa Kaeo),กฟจ.สระแก้ว,กฟจ.สระแก้ว,10.10.51.70,NetEngine 8000 M6,6,C1,SKE,,,,,
,227,C1_SS_WNA_NE08_1,C1_SS_WNA_NE08_1,สฟฟ.วัฒนานคร(ES.Wattananakorn),สฟฟ.วัฒนานคร,สฟฟ.วัฒนานคร,10.10.51.71,NE08E-S6,6,C1,WNA,,,,,
,228,C1_EO_WTN_NE08_1,C1_EO_WTN_NE08_1,กฟอ.วัฒนานคร(DE.Wattananakorn),กฟอ.วัฒนานคร,กฟอ.วัฒนานคร,10.10.51.72,NE08E-S6,6,C1,WTN,,,,,
,229,C1_SS_ARA_NE08_1,C1_SS_ARA_NE08_1,สฟฟ.อรัญประเทศ 1(ES.Aranyaprathet 1),สฟฟ.อรัญประเทศ 1,สฟฟ.อรัญประเทศ 1,10.10.51.73,NE08E-S6,6,C1,ARA,,,,,
,230,C1_EO_APT_NE08_1,C1_EO_APT_NE08_1,กฟอ.อรัญประเทศ(DE.Aranyaprathet),กฟอ.อรัญประเทศ,กฟอ.อรัญประเทศ,10.10.51.74,NE08E-S6,6,C1,APT,,,,,
,231,C1_SS_WYA_NE08_1,C1_SS_WYA_NE08_1,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,10.10.51.75,NE08E-S6,6,C1,WYA,,,,,
,232,C1_EO_WNN_NE08_1,C1_EO_WNN_NE08_1,กฟอ.วังน้ำเย็น(DE.Wang Nam Yen),กฟอ.วังน้ำเย็น,กฟอ.วังน้ำเย็น,10.10.51.76,NE08E-S6,6,C1,WNN,,,,,
,233,C1_EO_NAD_NE08_1,New_C1_EO_NAD_NE08_1,กฟส.นาดี,กฟส.นาดี,กฟส.นาดี,10.10.51.77,NE08E-S6E,6,C1,NAD,,,,,
,234,C1_SS_KBK_NE08_1,C1_SS_KBK_NE08_1,สฟฟ.กบินทร์บุรี 3 ชั่วคราว,สฟฟ.กบินทร์บุรี 3 ชั่วคราว,สฟฟ.กบินทร์บุรี 3 (ช),10.10.51.78,NE08E-S6E,6,C1,KBK,,,,,
,235,C1_SS_KBL_NE08_1,New_C1_SS_KBL_NE08_1,สฟฟ.กบินทร์บุรี 4 ชั่วคราว,สฟฟ.กบินทร์บุรี 4 ชั่วคราว,สฟฟ.กบินทร์บุรี 4 (ช),10.10.51.79,NE08E-S6E,6,C1,KBL,,,,,
,236,C1_EO_OKK_NE08_1,C1_EO_OKK_NE08_1,กฟส.องครักษ์(BE.Ongkharak),กฟส.องครักษ์,กฟส.องครักษ์,10.10.51.8,NE08E-S6,5,C1,OKK,,,,,
,237,C1_EO_ARB_NE08_1,New_C1_SS_ARB_NE08_1,สฟฟ.อรัญประเทศ 2,สฟฟ.อรัญประเทศ 2,สฟฟ.อรัญประเทศ 2,10.10.51.80,NE08E-S6E,6,C1,ARB,,,,,
,238,C1_EO_TTU_NE8K_1,C1_EO_TTM_NE8K_1,กฟย.ท่าตูม,กฟย.ท่าตูม,กฟย.ท่าตูม,10.10.51.81,NetEngine 8000 M6,6,C1,TTM,,,,,
,239,C1_WH_KBI_NE8K_1,New_C1_WH_KBR_NE8K_1,คลังพัสดุกบินทร์บุรี,คลังพัสดุกบินทร์บุรี,คลังพัสดุกบินทร์บุรี,10.10.51.82,NetEngine 8000 M6,6,C1,KBR,,,,,
,240,C1_EO_WTK_NE8K_1,New_C1_EO_WTK_NE8K_1,กฟย.วังตะเคียน,กฟย.วังตะเคียน,กฟย.วังตะเคียน,10.10.51.83,NetEngine 8000 M6,6,C1,WTK,,,,,
,241,C1_WH_KCK_NE8K_1,New_C1_EO_KCK_NE8K_1,กฟย.เขาฉกรรจ์ (แทรกกลาง),กฟย.เขาฉกรรจ์ (แทรกกลาง),กฟย.เขาฉกรรจ์,10.10.51.84,NetEngine 8000 M6,6,C1,KCK,,,,,
,242,C1_WH_WSB_NE8K_1,New_C1_EO_WSB_NE8K_1,กฟย.วังสมบูรณ์,กฟย.วังสมบูรณ์,กฟย.วังสมบูรณ์,10.10.51.85,NetEngine 8000 M6,6,C1,WSB,,,,,
,243,C1_EO_KHT_NE8K_1,New_C1_EO_KHT_NE8K_1,กฟย.คลองหาด (แทรกกลาง),กฟย.คลองหาด (แทรกกลาง),กฟย.คลองหาด,10.10.51.86,NetEngine 8000 M6,6,C1,KHT,,,,,
,244,C1_WH_KKS_NE8K_1,New_C1_EO_KKS_NE8K_1,กฟย.โคกสูง,กฟย.โคกสูง,กฟย.โคกสูง,10.10.51.87,NetEngine 8000 M6,6,C1,KKS,,,,,
,245,C1_EO_TPY_NE8K_1,New_C1_EO_TPY_NE8K_1,กฟย.ตาพระยา,กฟย.ตาพระยา,กฟย.ตาพระยา,10.10.51.88,NetEngine 8000 M6,6,C1,TPY,,,,,
,246,C1_WH_SKI_NE8K_1,C1_WH_SKE_NE8K_1,คลังพัสดุสระแก้ว,คลังพัสดุสระแก้ว,คลังพัสดุสระแก้ว,10.10.51.89,NE08E-S6,6,C1,SKE,,,,,
,247,C1_EO_NYA_NE08_1,C1_EO_NNK_NE08_1,กฟจ.นครนายก,กฟจ.นครนายก,กฟจ.นครนายก,10.10.51.9,NE08E-S6E,5,C1,NNK,,,,,
,248,C1_WH_ARA_NE8K_1,C1_WH_APT_NE8K_1,คลังพัสดุอรัญประเทศ,คลังพัสดุอรัญประเทศ,คลังพัสดุอรัญประเทศ,10.10.51.90,NetEngine 8000 M6,6,C1,APT,,,,,
,249,C1_SS_PAB_NE8K_2,C1_SS_PAB_NE8K_2,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,10.10.51.91,NetEngine 8000 M6,6,C1,PAB,,,,,
,250,C1_SS_PAB_NE8K_3_E1,C1_SS_PAB_NE8K_3_E1,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,10.10.51.92,NetEngine 8000 M6,5,C1,PAB,,,,,
,251,C1_SS_KBR_NE08_1,C1_SS_KBR_NE08_1,สฟฟ.กบินทร์บุรี 6 (ชค)(บ่อทอง 33),สฟฟ.กบินทร์บุรี 6 (ชค)(บ่อทอง 33),สฟฟ.กบินทร์บุรี 6 (ชค)(บ่อทอง 33),10.10.51.93,NE08E-S6E,6,C1,KBR,,,,,
,252,C2_SS_BBA_NE08_1,C2_SS_BBA_NE8K_1,สฟฟ.บ้านบึง 1(ES.Ban Bueng 1),สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,10.10.52.1,NetEngine 8000 M6,14,C2,BBA,,,,,
,253,C2_SS_PHA_NE08_1,C2_SS_PHA_NE08_1,สฟฟ.พนมสารคาม(ES. Phanomsarakham),สฟฟ.พนมสารคาม,สฟฟ.พนมสารคาม,10.10.52.10,NE08E-S6,7,C2,PHA,,,,,
,254,C2_SS_PZA_NE08_1,C2_SS_PZA_NE8K_1,สฟฟ.ปิ่นทอง 1,สฟฟ.ปิ่นทอง 1,สฟฟ.ปิ่นทอง,10.10.52.106,NetEngine 8000 M6,8,C2,PZA,,,,,
,255,C2_SS_PZB_NE8K_1,C2_SS_PZC_NE8K_1,สฟฟ.ปิ่นทอง 3,สฟฟ.ปิ่นทอง 3,สฟฟ.ปิ่นทอง 3,10.10.52.109,NetEngine 8000 M6,8,C2,PZC,,,,,
,256,C2_EO_SKY_NE08_1,C2_EO_SKY_NE08_1,กฟส.สนามชัยเขต(BE.Sanam Chai Khet),กฟส.สนามชัยเขต,กฟส.สนามชัยเขต,10.10.52.11,NE08E-S6,7,C2,SKY,,,,,
,257,C2_SS_HEB_NE8K_1,C2_SS_HEB_NE8K_1,สฟฟ.เหมราช 2,สฟฟ.เหมราช 2,สฟฟ.เหมราช 2,10.10.52.110,NetEngine 8000 M6,8,C2,HEB,,,,,
,258,C2_SS_BNH_NE08_1,C2_SS_BNH_NE08_1,สฟฟ.บึง 1(ES.Bueng 1),สฟฟ.บึง 1,สฟฟ.บึง 1,10.10.52.111,NE08E-S6,8,C2,BNH,,,,,
,259,C2_SS_PZW_NE08_1,C2_SS_PZW_NE08_1,สฟฟ.ปิ่นทอง 2,สฟฟ.ปิ่นทอง 2,สฟฟ.ปิ่นทอง 2,10.10.52.112,NE08E-S6E,8,C2,PZW,,,,,
,260,C2_SS_SCB_NE8K_1,C2_SS_SCB_NE08_1,สฟฟ.ศรีราชา 2,สฟฟ.ศรีราชา 2,สฟฟ.ศรีราชา 2,10.10.52.113,NE08E-S6E,8,C2,SCB,,,,,
,261,C2_SS_SNK_NE08_1,C2_SS_SNK_NE08_1,สฟฟ.สนามชัยเขต(ES.Sanam Chai Khet),สฟฟ.สนามชัยเขต,สฟฟ.สนามชัยเขต,10.10.52.12,NE08E-S6,7,C2,SNK,,,,,
,262,C2_EO_BLM_NE08_1,C2_EO_BLM_NE08_1,กฟภ.เมืองพัทยา (PEA.Muang Pattaya (Banglamung)),กฟภ.เมืองพัทยา,กฟภ.เมืองพัทยา,10.10.52.128,NE08E-S6,9,C2,BLM,,,,,
,263,C2_SS_LCB_NE08_1,C2_SS_LCB_NE08_1,สฟฟ.แหลมฉบัง 2(ES.Laem Chabang 2),สฟฟ.แหลมฉบัง 2,สฟฟ.แหลมฉบัง 2,10.10.52.129,NE08E-S6,9,C2,LCB,,,,,
,264,C2_EO_BOT_NE08_1,C2_EO_BOT_NE08_1,กฟย.บ่อทอง(ESS.Bo Thong),กฟย.บ่อทอง,กฟย.บ่อทอง,10.10.52.13,NE08E-S6,14,C2,BOT,,,,,
,265,C2_SS_LCA_NE08_1,C2_SS_LCA_NE08_1,สฟฟ.แหลมฉบัง 1(ES.Laem Chabang 1),สฟฟ.แหลมฉบัง 1,สฟฟ.แหลมฉบัง 1,10.10.52.130,NE08E-S6,9,C2,LCA,,,,,
,266,C2_SS_APA_NE08_1,C2_SS_APA_NE8K_1,สฟฟ.อ่าวไผ่ 1 (ES.Ao Phai 1),สฟฟ.อ่าวไผ่ 1 ,สฟฟ.อ่าวไผ่ 1 ,10.10.52.131,NetEngine 8000 M6,9,C2,APA,,,,,
,267,C2_SS_KMK_NE08_1,C2_SS_KMK_NE08_1,สฟฟ.เขาไม้แก้ว(ES.Khao Mai Kaew),สฟฟ.เขาไม้แก้ว,สฟฟ.เขาไม้แก้ว,10.10.52.132,NE08E-S6,9,C2,KMK,,,,,
,268,C2_SS_NKP_NE08_1,C2_SS_NKP_NE08_1,สฟฟ.นิคมพัฒนา(ES.Nikhom Phattana),สฟฟ.นิคมพัฒนา,สฟฟ.นิคมพัฒนา,10.10.52.133,NE08E-S6,9,C2,NKP,,,,,
,269,C2_SS_RAB_NE08_1,C2_SS_RAB_NE08_1,สฟฟ.ระยอง 2(ES.Rayong 2),สฟฟ.ระยอง 2,สฟฟ.ระยอง 2,10.10.52.134,NE08E-S6,9,C2,RAB,,,,,
,270,C2_SS_RAC_NE08_1,C2_SS_RAC_NE08_1,สฟฟ.ระยอง 3(ES.Rayong 3),สฟฟ.ระยอง 3,สฟฟ.ระยอง 3,10.10.52.135,NE08E-S6,9,C2,RAC,,,,,
,271,C2_SS_BJA_NE08_1,C2_SS_BJA_NE08_1,สฟฟ.บ้านฉาง(ES.Ban Chang),สฟฟ.บ้านฉาง,สฟฟ.บ้านฉาง,10.10.52.136,NE08E-S6,9,C2,BJA,,,,,
,272,C2_SS_CHT_NE08_1,C2_SS_CHT_NE8K_1,สฟฟ.จอมเทียน(ES.Chom Thian),สฟฟ.จอมเทียน,สฟฟ.จอมเทียน,10.10.52.137,NetEngine 8000 M6,9,C2,CHT,,,,,
,273,C2_SS_PYT_NE08_1,C2_SS_PYT_NE08_1,สฟฟ.พัทยาใต้(ES.South Pattaya),สฟฟ.พัทยาใต้,สฟฟ.พัทยาใต้,10.10.52.138,NE08E-S6,9,C2,PYT,,,,,
,274,C2_WH_PTY_NE08_1,C2_SS_PTY2_NE08_1,สฟฟ.พัทยาใต้ 2,สฟฟ.พัทยาใต้ 2,สฟฟ.พัทยาใต้ 2,10.10.52.139,NE08E-S6,9,C2,PTY,,,,,
,275,C2_SS_KPO_NE8K_1,C2_SS_KPO_NE08_1,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,10.10.52.14,NE08E-S6,7,C2,KPO,,,,,
,276,C2_SS_PYN_NE8K_1,New_C2_SS_PYN_NE8K_1,สฟฟ.พัทยาเหนือ,สฟฟ.พัทยาเหนือ,สฟฟ.พัทยาเหนือ ตัวที่ 2,10.10.52.140,NetEngine 8000 M6,9,C2,PYN,,,,,
,277,C2_SS_MPB_NE08_1,New_C2_SS_MPB_NE08_1,สฟฟ.มาบตาพุด 2,สฟฟ.มาบตาพุด 2,สฟฟ.มาบตาพุด 2,10.10.52.141,NE08E-S6E,9,C2,MPB,,,,,
,278,C2_SS_MPA_NE08_1,New_C2_SS_MPA_NE08_1,สฟฟ.มาบตาพุด 1,สฟฟ.มาบตาพุด 1,สฟฟ.มาบตาพุด 1,10.10.52.142,NE08E-S6E,9,C2,MPA,,,,,
,279,C2_SS_MPC_NE08_1,New_C2_SS_MPC_NE08_1,สฟฟ.มาบตาพุด 3,สฟฟ.มาบตาพุด 3,สฟฟ.มาบตาพุด 3,10.10.52.143,NE08E-S6E,9,C2,MPC,,,,,
,280,C2_EO_HKLN_NE08_1,New_C2_EO_HKLN_NE08_1,กฟย.เกาะล้าน,กฟย.เกาะล้าน,กฟย.เกาะล้าน,10.10.52.144,NE08E-S6E,9,C2,HKL,,,,,
,281,C2_SS_BLA_NE08_1,New_C2_SS_BLA_NE08_1,สฟฟ.บางละมุง 1,สฟฟ.บางละมุง 1,สฟฟ.บางละมุง,10.10.52.145,NE08E-S6E,9,C2,BLA,,,,,
,282,C2_SS_PYG_NE08_1,New_C2_SS_PYG_NE08_1,สฟฟ.พัทยากลาง,สฟฟ.พัทยากลาง,สฟฟ.พัทยากลาง,10.10.52.146,NE08E-S6E,9,C2,PYG,,,,,
,283,C2_SS_RAC_NE08_2,C2_SS_RAC_NE08_2,สฟฟ.ระยอง 3,สฟฟ.ระยอง 3,สฟฟ.ระยอง 3,10.10.52.147,NE08E-S6,9,C2,RAC,,,,,
,284,C2_EO_LCA_NE08_1,New_C2_EO_LCB_NE08_1,กฟส.แหลมฉบัง,กฟส.แหลมฉบัง,กฟฟ.แหลมฉบัง,10.10.52.148,NE08E-S6E,9,C2,LCB,,,,,
,285,C2_EO_CHT_NE08_1,C2_EO_CHT_NE08_1,กฟส.จอมเทียน,กฟส.จอมเทียน,กฟฟ.จอมเทียน,10.10.52.149,NE08E-S6E,9,C2,CHT,,,,,
,286,C2_EO_KOC_NE08_1,C2_EO_KOC_NE08_1,กฟส.เกาะจันทร์(BE.Koh Chan),กฟส.เกาะจันทร์,กฟส.เกาะจันทร์,10.10.52.15,NE08E-S6,14,C2,KOC,,,,,
,287,C2_SS_CHU_NE08_1,New_C2_SS_CHU_NE08_1,สฟฟ.จอมเทียน 2,สฟฟ.จอมเทียน 2,สฟฟ.จอมเทียน 2,10.10.52.150,NE08E-S6E,9,C2,CHU,,,,,
,288,C2_EO_BJA_NE08_1,New_C2_EO_BJA_NE08_1,กฟอ.บ้านฉาง,กฟอ.บ้านฉาง,กฟอ.บ้านฉาง,10.10.52.151,NE08E-S6E,9,C2,BJA,,,,,
,289,C2_EO_MPA_NE08_1,New_C2_EO_MPA_NE08_1,กฟอ.มาบตาพุด,กฟอ.มาบตาพุด,กฟฟ.มาบตาพุด,10.10.52.152,NE08E-S6E,9,C2,MPA,,,,,
,290,C2_EO_KSCH_NE8K_1,New_C2_EO_KSCH_NE8K_1,กฟย.เกาะสีชัง,กฟย.เกาะสีชัง,กฟย.เกาะสีชัง,10.10.52.154,NetEngine 8000 M6,9,C2,KSC,,,,,
,291,C2_SS_APB_NE8K_1,New_C2_SS_APB_NE8K_1,สฟฟ.อ่าวไผ่2,สฟฟ.อ่าวไผ่2,สฟฟ.อ่าวไผ่ 2,10.10.52.155,NetEngine 8000 M6,9,C2,APB,,,,,
,292,C2_SS_PYV_NE8K_1,New_C2_SS_PYV_NE8K_1,สฟฟ.พัทยาเหนือ 2 ชั่วคราว,สฟฟ.พัทยาเหนือ 2 ชั่วคราว,สฟฟ.พัทยาเหนือ 2(ชั่วคราว),10.10.52.156,NetEngine 8000 M6,9,C2,PYV,,,,,
,293,C2_SS_PLU_NE08_3,C2_SS_PLU_NE08_3,สฟฟ.ปลวกแดง 1 #3,สฟฟ.ปลวกแดง 1 #3,สฟฟ.ปลวกแดง 1 #3,10.10.52.158,NE08E-S6,8,C2,PLD,,,,,
,294,C2_SS_KWA_NE08_1,New_C2_SS_KWA_NE08_1,สฟฟ.คลองขวาง 1,สฟฟ.คลองขวาง 1,กฟส.บ่อทอง,10.10.52.16,NE08E-S6E,7,C2,KWA,,,,,
,295,C2_SS_KWB_NE08_1,New_C2_SS_KWB_NE08_1,สฟฟ.คลองขวาง 2,สฟฟ.คลองขวาง 2,สฟฟ.คลองขวาง 2,10.10.52.17,NE08E-S6E,7,C2,KWB,,,,,
,296,C2_SS_BSM_NE08_1,New_C2_SS_BSM_NE08_1,สฟฟ.บางสมัคร 1,สฟฟ.บางสมัคร 1,สฟฟ.บางสมัคร,10.10.52.18,NE08E-S6E,7,C2,BSM,,,,,
,297,C2_SS_BAP_NE08_1,New_C2_SS_BAP_NE08_1,สฟฟ.บางน้ำเปรี้ยว,สฟฟ.บางน้ำเปรี้ยว,สฟฟ.บางน้ำเปรี้ยว,10.10.52.19,NE08E-S6E,7,C2,BAP,,,,,
,298,C2_SS_KAA_NE08_2,C2_SS_KAA_NE08_2,สฟฟ.แกลง 1,สฟฟ.แกลง 1,สฟฟ.แกลง 1,10.10.52.192,NE08E-S6,10,C2,KAA,,,,,
,299,C2_SS_NYM_NE08_1,C2_SS_NYM_NE08_1,สฟฟ.นายายอาม(ES.Na Yai Am),สฟฟ.นายายอาม,สฟฟ.นายายอาม,10.10.52.193,NE08E-S6,10,C2,NYM,,,,,
,300,C2_SS_TMM_NE08_1,C2_SS_TMM_NE8K_1,สฟฟ.ท่าใหม่(ES.Tha Mai),สฟฟ.ท่าใหม่,สฟฟ.ท่าใหม่,10.10.52.194,NetEngine 8000 M6,10,C2,TMM,,,,,
,301,C2_SS_CTA_NE08_1,C2_SS_CTA_NE08_1,สฟฟ.จันทบุรี(ES.Chanthaburi),สฟฟ.จันทบุรี,สฟฟ.จันทบุรี,10.10.52.195,NE08E-S6,10,C2,CTA,,,,,
,302,C2_EO_CTR_NE08_1,C2_EO_CTR_NE08_1,กฟจ.จันทบุรี(PE.Chanthaburi),กฟจ.จันทบุรี,กฟจ.จันทบุรี,10.10.52.196,NE08E-S6,10,C2,CTR,,,,,
,303,C2_EO_TMI_NE08_1,C2_EO_TMI_NE08_1,กฟส.ท่าใหม่(BE.Tha Mai),กฟส.ท่าใหม่,กฟส.ท่าใหม่,10.10.52.197,NE08E-S6,10,C2,TMI,,,,,
,304,C2_SS_PNR_NE08_1,C2_SS_PNR_NE08_1,สฟฟ.โป่งน้ำร้อน(ES.Pong Nam Ron),สฟฟ.โป่งน้ำร้อน,สฟฟ.โป่งน้ำร้อน,10.10.52.198,NE08E-S6,10,C2,PNR,,,,,
,305,C2_EO_SOD_NE08_1,C2_EO_SOD_NE8K_1,กฟส.สอยดาว (BE.Soi dao),กฟส.สอยดาว ,กฟส.สอยดาว ,10.10.52.199,NetEngine 8000 M6,10,C2,SOD,,,,,
,306,C2_EO_BAB_NE08_1,C2_EO_BAB_NE08_1,กฟอ.บ้านบึง(BE.Ban Bueng),กฟอ.บ้านบึง,กฟอ.บ้านบึง,10.10.52.2,NE08E-S6,14,C2,BAB,,,,,
,307,C2_E0_BAP_NE08_1,New_C2_EO_BAP_NE08_1,กฟอ.บางน้ำเปรี้ยว,กฟอ.บางน้ำเปรี้ยว,กฟส.บางน้ำเปรี้ยว,10.10.52.20,NE08E-S6E,7,C2,BAP,,,,,
,308,C2_SS_WYA_NE08_2,C1_SS_WYA_NE08_2,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,10.10.52.200,NE08E-S6,6,C1,WYA,,,,,
,309,C2_EO_KLG_NE08_1,New_C2_EO_KLG_NE08_1,กฟส.ขลุง,กฟส.ขลุง,กฟส.ขลุง,10.10.52.201,NE08E-S6E,10,C2,KLG,,,,,
,310,C2_SS_KLG_NE08_1,New_C2_SS_KLG_NE08_1,สฟฟ.ขลุง,สฟฟ.ขลุง,สฟฟ.ขลุง,10.10.52.202,NE08E-S6E,10,C2,KLG,,,,,
,311,C2_SS_SAT_NE08_1,New_C2_SS_SAT_NE08_1,สฟฟ.แสนตุ้ง,สฟฟ.แสนตุ้ง,สฟฟ.แสนตุ้ง,10.10.52.203,NE08E-S6E,10,C2,SAT,,,,,
,312,C2_EO_LES_NE08_1,New_C2_EO_LES_NE08_1,กฟส.แหลมสิงห์,กฟส.แหลมสิงห์,กฟส.แหลมสิงห์,10.10.52.204,NE08E-S6E,10,C2,LES,,,,,
,313,C2_SS_TTA_NE08_1,New_C2_SS_TTA_NE08_1,สฟฟ.ตราด,สฟฟ.ตราด,สฟฟ.ตราด,10.10.52.205,NE08E-S6E,10,C2,TTA,,,,,
,314,C2_EO_TTA_NE08_1,New_C2_EO_TTA_NE08_1,กฟจ.ตราด,กฟจ.ตราด,กฟจ.ตราด,10.10.52.206,NE08E-S6E,10,C2,TTA,,,,,
,315,C2_EO_KSM_NE08_1,New_C2_EO_KSM_NE08_1,กฟอ.เขาสมิง,กฟอ.เขาสมิง,กฟส.เขาสมิง,10.10.52.207,NE08E-S6E,10,C2,KSM,,,,,
,316,C2_SS_LGA_NE08_1,New_C2_SS_LGA_NE08_1,สฟฟ.แหลมงอบ,สฟฟ.แหลมงอบ,สฟฟ.แหลมงอบ,10.10.52.208,NE08E-S6E,10,C2,LGA,,,,,
,317,C2_EO_KZA_NE08_1,New_C2_EO_KZA_NE08_1,กฟส.เกาะช้าง,กฟส.เกาะช้าง,กฟส.เกาะช้าง,10.10.52.209,NE08E-S6E,10,C2,KZA,,,,,
,318,C2_SS_BSK_NE08_1,New_C2_SS_BSK_NE08_1,สฟฟ.บางสมัคร 2,สฟฟ.บางสมัคร 2,สฟฟ.บางสมัคร 2,10.10.52.21,NE08E-S6E,7,C2,BSK,,,,,
,319,C2_SS_KYA_NE08_1,New_C2_SS_KYA_NE08_1,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,10.10.52.210,NE08E-S6E,10,C2,KYA,,,,,
,320,C2_EO_KYA_NE08_1,New_C2_EO_KYA_NE08_1,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,10.10.52.211,NE08E-S6E,10,C2,KYA,,,,,
,321,C2_EO_HKKT_NE08_1,New_C2_EO_HKKT_NE08_1,กฟย.เกาะกูด,กฟย.เกาะกูด,กฟย.เกาะกูด,10.10.52.212,NE08E-S6E,10,C2,HKK,,,,,
,322,C2_EO_HKMK_NE08_1,New_C2_EO_HKMK_NE08_1,กฟย.เกาะหมาก,กฟย.เกาะหมาก,กฟย.เกาะหมาก,10.10.52.213,NE08E-S6E,10,C2,HKMK,,,,,
,323,C2_EO_NYM_NE08_1,New_C2_EO_NYM_NE08_1,กฟอ.นายายอาม,กฟอ.นายายอาม,กฟส.นายายอาม,10.10.52.214,NE08E-S6E,10,C2,NYM,,,,,
,324,C2_SS_KZA_NE08_1,New_C2_SS_KZA_NE08_1,สฟฟ.เกาะช้าง,สฟฟ.เกาะช้าง,สฟฟ.เกาะช้าง,10.10.52.215,NE08E-S6E,10,C2,KZA,,,,,
,325,C2_EO_HKHM_NE80_1,New_C2_EO_HKHM_NE08_1,กฟย.แก่งหางแมว,กฟย.แก่งหางแมว,กฟย.แก่งหางแมว,10.10.52.216,NE08E-S6E,10,C2,HKH,,,,,
,326,C2_EO_BWR_NE08_1,New_C2_EO_BWR_NE08_1,กฟย.บ่อเวฬุ,กฟย.บ่อเวฬุ,กฟย.บ่อเวฬุ,10.10.52.217,NE08E-S6E,10,C2,BWR,,,,,
,327,C2_EO_HMKM_NE80_1,New_C2_EO_HMKM_NE08_1,กฟย.มะขาม,กฟย.มะขาม,กฟย.มะขาม,10.10.52.218,NE08E-S6E,10,C2,HMK,,,,,
,328,C2_EO_HPRI_NE80_1,New_C2_EO_HPRI_NE08_1,กฟย.บ่อไร่,กฟย.บ่อไร่,กฟย.บ่อไร่,10.10.52.219,NE08E-S6E,10,C2,HPR,,,,,
,329,C2_SS_WUA_NE08_1,New_C2_SS_BWB_NE08_1,สฟฟ.บางวัว 2,สฟฟ.บางวัว 2,สฟฟ.บางวัว 2,10.10.52.22,NE08E-S6E,7,C2,BWB,,,,,
,330,C2_EO_LGA_NE08_1,New_C2_EO_LGA_NE08_1,กฟย.แหลมงอบ,กฟย.แหลมงอบ,กฟย.แหลมงอบ,10.10.52.220,NE08E-S6E,10,C2,LGA,,,,,
,331,C2_SS_CTA_NE08_2,C2_SS_CTA_NE08_2,สฟฟ.จันทบุรี,สฟฟ.จันทบุรี,สฟฟ.จันทบุรี,10.10.52.221,NE08E-S6E,10,C2,CTA,,,,,
,332,C2_SS_SAT_NE08_2,C2_SS_SAT_NE08_2,สฟฟ.แสนตุ้ง,สฟฟ.แสนตุ้ง,สฟฟ.แสนตุ้ง,10.10.52.222,NE08E-S6E,10,C2,SAT,,,,,
,333,C2_EO_PNR_NE8K_1,New_C2_EO_PNR_NE8K_1,กฟย.โป่งน้ำร้อน (แทรกกลาง),กฟย.โป่งน้ำร้อน (แทรกกลาง),กฟย.โป่งน้ำร้อน,10.10.52.223,NetEngine 8000 M6,10,C2,PNR,,,,,
,334,C2_EO_HTMO_NE8K_1,New_C2_EO_HTMO_NE8K_1,กฟย.บ้านเตาหม้อ  (แทรกกลาง),กฟย.บ้านเตาหม้อ  (แทรกกลาง),กฟย.เตาหม้อ,10.10.52.224,NetEngine 8000 M6,10,C2,HTMO,,,,,
,335,C2_EO_HKKC_NE8K_1,New_C2_EO_HKKC_NE8K_1,กฟย.เขาคิชกูฎ,กฟย.เขาคิชกูฎ,กฟย.เขาคิชกูฎ,10.10.52.225,NetEngine 8000 M6,10,C2,HKKC,,,,,
,336,C2_SS_PNS_NE8K_1,New_C2_SS_PNS_NE8K_1,สฟฟ.โป่งน้ำร้อน 2 ชั่วคราว,สฟฟ.โป่งน้ำร้อน 2 ชั่วคราว,สฟฟ.โป่งน้ำร้อน 2 (ชั่วคราว),10.10.52.226,NetEngine 8000 M6,10,C2,PNS,,,,,
,337,C2_EO_NKL_NE08_1,C2_EO_NKL_NE08_1,กฟย.หนองคล้า,กฟย.หนองคล้า,กฟย.หนองคล้า,10.10.52.227,NE08E-S6,10,C2,NKL,,,,,
,338,C2_SS_XDA_NE08_1,C2_SS_XDA_NE08_1,สฟฟ.สอยดาว,สฟฟ.สอยดาว,สฟฟ.สอยดาว,10.10.52.228,NE08E-S6,10,C2,XDA,,,,,
,339,C2_SS_CTB_NE8K_1,C2_SS_CTB_NE8K_1,สฟฟ.จันทบุรี 2,สฟฟ.จันทบุรี 2,สฟฟ.จันทบุรี 2,10.10.52.229,NetEngine 8000 M6,10,C2,CTB,,,,,
