,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,72,C1_ADDC_EO_AYY_NE8K_6,C1_ADDC_EO_AYY_NE8K_6,ศจฟ.กฟก1 (อาคาร4),ศจฟ.กฟก1 (อาคาร4),ศจฟ.กฟก.1,10.10.50.153,NetEngine 8000 M6,3,C1,AYY,,,,,
,73,C1_EO_PTN_NE08_1,C1_EO_PTI_NE08_1,กฟจ.ปทุมธานี(PE.Pathum Thani),กฟจ.ปทุมธานี,กฟจ.ปทุมธานี,10.10.50.16,NE08E-S6,1,C1,PTI,,,,,
,74,C1_EO_LLO_NE08_1,C1_EO_LLO_NE08_1,กฟอ.ลาดหลุมแก้ว,กฟอ.ลาดหลุมแก้ว,กฟอ.ลาดหลุมแก้ว,10.10.50.17,NE08E-S6,1,C1,LLO,,,,,
,75,C1_SS_LAK_NE08_1,C1_SS_LAK_NE08_1,สฟฟ.ลาดหลุมแก้ว,สฟฟ.ลาดหลุมแก้ว,สฟฟ.ลาดหลุมแก้ว,10.10.50.18,NE08E-S6,1,C1,LAK,,,,,
,76,C1_SS_SNO_NE08_1,C1_SS_SNO_NE08_1,สฟฟ.ไทรน้อย,สฟฟ.ไทรน้อย,สฟฟ.ไทรน้อย,10.10.50.19,NE08E-S6,1,C1,SNO,,,,,
,77,C1_ADDC_EO_AYY_NE08_4,C1_ADDC_EO_AYY_NE8K_4,ศจฟ.กฟก.1 อยุธยา,ศจฟ.กฟก.1 อยุธยา,ศจฟ.กฟก.1,10.10.50.192,NetEngine 8000 M6,4,C1,AYY,,,,,
,78,C1_SS_BPH_NE08_1,C1_SS_BPH_NE08_1,สฟฟ.บางพระครู,สฟฟ.บางพระครู,สฟฟ.บางพระครู,10.10.50.193,NE08E-S6,4,C1,BPH,,,,,
,79,C1_SS_TLA_NE08_1,C1_SS_TLA_NE08_1,สฟฟ.ท่าลาน 1,สฟฟ.ท่าลาน 1,สฟฟ.ท่าลาน 1,10.10.50.194,NE08E-S6,4,C1,TLA,,,,,
,80,C1_SS_TLC_NE08_1,C1_SS_TLC_NE08_1,สฟฟ.ท่าลาน 3,สฟฟ.ท่าลาน 3,สฟฟ.ท่าลาน 3,10.10.50.195,NE08E-S6,4,C1,TLC,,,,,
,81,C1_SS_PKE_NE08_1,C1_SS_PKE_NE08_1,สฟฟ.พุแค,สฟฟ.พุแค,สฟฟ.พุแค,10.10.50.196,NE08E-S6,4,C1,PKE,,,,,
