SubCard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save Time: 2025-05-15 12:23:16 User Name: tempuno,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total records: 3410,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Name,NE Type (MPU Type),Subboard Full Name,Subboard Name,Subboard Type,Subrack ID,Slot Number,Subslot Number,Hardware Version,Software Version,SN(Bar Code),Subboard Status,SubCard Alias,Description,Remarks,PN(BOM Code),Manufactured On,Model,Rev (Issue Number),Custom Label,resId,nativeId,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,Region
C1_SS_SNA_NE08_2,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000039,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,855b3525-b7d7-11ea-a230-ac8d34d0c492,"NE=3145831,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,สฟฟ.เสนา,Not Match,C1
C1_SS_SNA_NE08_2,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000213,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,855b3526-b7d7-11ea-a230-ac8d34d0c492,"NE=3145831,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.เสนา,Not Match,C1
C3_SS_SAA_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000019,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,8844e6fc-b7d7-11ea-a230-ac8d34d0c492,"NE=3145908,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.สามพราน 1,Not Match,C3
C3_SS_SAA_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000032,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,8844e6fd-b7d7-11ea-a230-ac8d34d0c492,"NE=3145908,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,สฟฟ.สามพราน 1,Not Match,C3
C3_SS_SAA_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000217,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,8844e6fe-b7d7-11ea-a230-ac8d34d0c492,"NE=3145908,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.สามพราน 1,Not Match,C3
C1_SS_SMP_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000044,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,8d88dda9-b7d7-11ea-a230-ac8d34d0c492,"NE=3145813,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.ศรีมหาโพธิ์,Not Match,C1
C1_SS_SMP_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000096,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,8d88ddaa-b7d7-11ea-a230-ac8d34d0c492,"NE=3145813,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,สฟฟ.ศรีมหาโพธิ์,Not Match,C1
C1_SS_SMP_NE08_1,NE08E-S6,NED2EX2S 0/2,,NEDD000EX2S0,1,7,2,NED2EX2S REV D,--,210305645310H6000097,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,8d88ddab-b7d7-11ea-a230-ac8d34d0c492,"NE=3145813,FR=1,S=7,CP=-1,SS=2,SC=-1",,0,Ph#1,สฟฟ.ศรีมหาโพธิ์,Not Match,C1
C1_SS_SRB_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000004,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-18,,0305645800,,8ed3fad4-b7d7-11ea-a230-ac8d34d0c492,"NE=3145941,FR=1,S=7,CP=-1,SS=6,SC=-1",,#N/A,#N/A,สฟฟ.สระบุรี 2,#N/A,C1
C1_SS_SRB_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,,210305645210H6000453,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,8ed3fad5-b7d7-11ea-a230-ac8d34d0c492,"NE=3145941,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.สระบุรี 2,Not Match,C1
C1_SS_SRB_NE08_1,NE08E-S6,NED2EM8T 0/5,,NEDD00EM8T01,1,7,5,NED2EM8T REV C,,210305645810L6000037,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2020-06-15,,0305645800,,8ed3fad6-b7d7-11ea-a230-ac8d34d0c492,"NE=3145941,FR=1,S=7,CP=-1,SS=5,SC=-1",,สฟฟ.สระบุรี 2,Ph#4,สฟฟ.สระบุรี 2,Match,C1
C1_SS_BSA_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000078,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,92c13a7f-b7d7-11ea-a230-ac8d34d0c492,"NE=3145754,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.บางไทร,Not Match,C1
C1_SS_BSA_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000342,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,92c13a80-b7d7-11ea-a230-ac8d34d0c492,"NE=3145754,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.บางไทร,Not Match,C1
C1_SS_BSA_NE08_1,NE08E-S6,NED2EX1S 0/5,,NEDD000EX1S0,1,7,5,NED2EX1S REV D,--,210305645210H6000350,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,92c13a81-b7d7-11ea-a230-ac8d34d0c492,"NE=3145754,FR=1,S=7,CP=-1,SS=5,SC=-1",,0,Ph#1,สฟฟ.บางไทร,Not Match,C1
C1_SS_KYE_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000055,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,951bf400-b7d7-11ea-a230-ac8d34d0c492,"NE=3145800,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.โคกแย้,Not Match,C1
C1_SS_KYE_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000189,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,951bf401-b7d7-11ea-a230-ac8d34d0c492,"NE=3145800,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.โคกแย้,Not Match,C1
C1_SS_KYE_NE08_1,NE08E-S6,NED2EM8T 0/5,,NEDD00EM8T01,1,7,5,NED2EM8T REV C,,210305645810L6000130,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2020-06-15,,0305645800,,951bf402-b7d7-11ea-a230-ac8d34d0c492,"NE=3145800,FR=1,S=7,CP=-1,SS=5,SC=-1",,สฟฟ.โคกแย้,Ph#4,สฟฟ.โคกแย้,Match,C1
C1_SS_TLA_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,,210305645810H6000130,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,9702dc2b-b7d7-11ea-a230-ac8d34d0c492,"NE=3145818,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.ท่าลาน 1,Not Match,C1
C1_SS_TLA_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,,210305645210H6000458,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,9702dc2c-b7d7-11ea-a230-ac8d34d0c492,"NE=3145818,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.ท่าลาน 1,Not Match,C1
C1_SS_TLA_NE08_1,NE08E-S6,NED2EX1S 0/5,,NEDD000EX1S0,1,7,5,NED2EX1S REV D,,210305645210H6000450,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,9702dc2d-b7d7-11ea-a230-ac8d34d0c492,"NE=3145818,FR=1,S=7,CP=-1,SS=5,SC=-1",,0,Ph#1,สฟฟ.ท่าลาน 1,Not Match,C1
C1_SS_TMS_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000163,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,9bb6791a-b7d7-11ea-a230-ac8d34d0c492,"NE=3145741,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.ธรรมศาสตร์,Not Match,C1
C1_SS_TMS_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000092,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,9bb6791b-b7d7-11ea-a230-ac8d34d0c492,"NE=3145741,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,สฟฟ.ธรรมศาสตร์,Not Match,C1
C1_SS_TMS_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000463,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,9bb6791c-b7d7-11ea-a230-ac8d34d0c492,"NE=3145741,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.ธรรมศาสตร์,Not Match,C1
C2_SS_BNF_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000070,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,9e58e8e7-b7d7-11ea-a230-ac8d34d0c492,"NE=3145882,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.บึง 2,Not Match,C2
C2_SS_BNF_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000390,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,9e58e8e8-b7d7-11ea-a230-ac8d34d0c492,"NE=3145882,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.บึง 2,Not Match,C2
C2_SS_BNF_NE08_1,NE08E-S6,NED2EX1S 0/5,,NEDD000EX1S0,1,7,5,NED2EX1S REV D,--,210305645210H6000358,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,9e58e8e9-b7d7-11ea-a230-ac8d34d0c492,"NE=3145882,FR=1,S=7,CP=-1,SS=5,SC=-1",,0,Ph#1,สฟฟ.บึง 2,Not Match,C2
C3_EO_KPN_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000171,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,a06b27b6-b7d7-11ea-a230-ac8d34d0c492,"NE=3145793,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,กฟอ.กำแพงแสน,Not Match,C3
C3_EO_KPN_NE08_1,NE08E-S6,NED3ML1A 0/4,,NEDD16E17502,1,7,4,NED3ML1A REV C,--,210305646110H6000024,Normal,,"NE08E-S6,NED3ML1A0,16 Channels E1 Interface Board(75ohm)",,03056461,2017-06-20,,0305646100,,a06b27b7-b7d7-11ea-a230-ac8d34d0c492,"NE=3145793,FR=1,S=7,CP=-1,SS=4,SC=-1",,0,Ph#1,กฟอ.กำแพงแสน,Not Match,C3
C3_EO_KPN_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000428,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,a06b27b8-b7d7-11ea-a230-ac8d34d0c492,"NE=3145793,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,กฟอ.กำแพงแสน,Not Match,C3
C3_EO_KPN_NE08_1,NE08E-S6,NED2EX1S 0/5,,NEDD000EX1S0,1,7,5,NED2EX1S REV D,--,210305645210H6000427,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,a06b27b9-b7d7-11ea-a230-ac8d34d0c492,"NE=3145793,FR=1,S=7,CP=-1,SS=5,SC=-1",,0,Ph#1,กฟอ.กำแพงแสน,Not Match,C3
C2_SS_CTA_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000176,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,a18e23ba-b7d7-11ea-a230-ac8d34d0c492,"NE=3145895,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.จันทบุรี,Not Match,C2
C2_SS_CTA_NE08_1,NE08E-S6,NED3ML1A 0/4,,NEDD16E17502,1,7,4,NED3ML1A REV C,--,210305646110H6000045,Normal,,"NE08E-S6,NED3ML1A0,16 Channels E1 Interface Board(75ohm)",,03056461,2017-06-20,,0305646100,,a18e23bb-b7d7-11ea-a230-ac8d34d0c492,"NE=3145895,FR=1,S=7,CP=-1,SS=4,SC=-1",,0,Ph#1,สฟฟ.จันทบุรี,Not Match,C2
C2_SS_CTA_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000115,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,a18e23bc-b7d7-11ea-a230-ac8d34d0c492,"NE=3145895,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,สฟฟ.จันทบุรี,Not Match,C2
C2_SS_CTA_NE08_1,NE08E-S6,NED2EX2S 0/2,,NEDD000EX2S0,1,7,2,NED2EX2S REV D,--,210305645310H6000113,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,a18e23bd-b7d7-11ea-a230-ac8d34d0c492,"NE=3145895,FR=1,S=7,CP=-1,SS=2,SC=-1",,0,Ph#1,สฟฟ.จันทบุรี,Not Match,C2
C3_SS_UTO_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000022,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,a3a73f8c-b7d7-11ea-a230-ac8d34d0c492,"NE=3145780,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.อู่ทอง,Not Match,C3
C3_SS_UTO_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000034,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,a3a73f8d-b7d7-11ea-a230-ac8d34d0c492,"NE=3145780,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,สฟฟ.อู่ทอง,Not Match,C3
C3_SS_UTO_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000219,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,a3a73f8e-b7d7-11ea-a230-ac8d34d0c492,"NE=3145780,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.อู่ทอง,Not Match,C3
C2_SS_CBA_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,,210305645810H6000113,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,a7836848-b7d7-11ea-a230-ac8d34d0c492,"NE=3145851,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.ชลบุรี 1,Not Match,C2
C2_SS_CBA_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000018,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-18,,0305645300,,a7836849-b7d7-11ea-a230-ac8d34d0c492,"NE=3145851,FR=1,S=7,CP=-1,SS=1,SC=-1",,#N/A,#N/A,สฟฟ.ชลบุรี 1,#N/A,C2
C1_EO_RST_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000166,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,a9b08137-b7d7-11ea-a230-ac8d34d0c492,"NE=3145736,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,กฟฟ.รังสิต,Not Match,C1
C1_EO_RST_NE08_1,NE08E-S6,NED2EX1S 0/4,,NEDD000EX1S0,1,7,4,NED2EX1S REV E,,210305645210L4000318,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2020-04-16,,0305645200,,a9b08138-b7d7-11ea-a230-ac8d34d0c492,"NE=3145736,FR=1,S=7,CP=-1,SS=4,SC=-1",,กฟฟ.รังสิต,Ph#3,กฟฟ.รังสิต,Match,C1
C1_EO_RST_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000056,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,a9b08139-b7d7-11ea-a230-ac8d34d0c492,"NE=3145736,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,กฟฟ.รังสิต,Not Match,C1
C1_EO_RST_NE08_1,NE08E-S6,NED2EX2S 0/2,,NEDD000EX2S0,1,7,2,NED2EX2S REV D,--,210305645310H6000055,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,a9b0813a-b7d7-11ea-a230-ac8d34d0c492,"NE=3145736,FR=1,S=7,CP=-1,SS=2,SC=-1",,0,Ph#1,กฟฟ.รังสิต,Not Match,C1
C1_EO_RST_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000431,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,a9b0813b-b7d7-11ea-a230-ac8d34d0c492,"NE=3145736,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,กฟฟ.รังสิต,Not Match,C1
C1_EO_KBR_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000145,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,af871ad6-b7d7-11ea-a230-ac8d34d0c492,"NE=3145838,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,กฟอ.กบินทร์บุรี,Not Match,C1
C1_EO_KBR_NE08_1,NE08E-S6,NED3ML1A 0/4,,NEDD16E17502,1,7,4,NED3ML1A REV C,--,210305646110H6000040,Normal,,"NE08E-S6,NED3ML1A0,16 Channels E1 Interface Board(75ohm)",,03056461,2017-06-20,,0305646100,,af871ad7-b7d7-11ea-a230-ac8d34d0c492,"NE=3145838,FR=1,S=7,CP=-1,SS=4,SC=-1",,0,Ph#1,กฟอ.กบินทร์บุรี,Not Match,C1
C1_EO_KBR_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000070,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,af871ad8-b7d7-11ea-a230-ac8d34d0c492,"NE=3145838,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,กฟอ.กบินทร์บุรี,Not Match,C1
C1_EO_KBR_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000433,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,af871ad9-b7d7-11ea-a230-ac8d34d0c492,"NE=3145838,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,กฟอ.กบินทร์บุรี,Not Match,C1
C1_SS_NPL_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000108,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,b26de6e0-b7d7-11ea-a230-ac8d34d0c492,"NE=3145825,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.หนองปลิง,Not Match,C1
C1_SS_NPL_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000259,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,b26de6e1-b7d7-11ea-a230-ac8d34d0c492,"NE=3145825,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.หนองปลิง,Not Match,C1
C1_SS_NPL_NE08_1,NE08E-S6,NED2EM8T 0/5,,NEDD00EM8T01,1,7,5,NED2EM8T REV C,,210305645810L6000041,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2020-06-15,,0305645800,,b26de6e2-b7d7-11ea-a230-ac8d34d0c492,"NE=3145825,FR=1,S=7,CP=-1,SS=5,SC=-1",,สฟฟ.หนองปลิง,Ph#4,สฟฟ.หนองปลิง,Match,C1
C2_SS_KMK_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000035,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,b5c1a664-b7d7-11ea-a230-ac8d34d0c492,"NE=3145920,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.เขาไม้แก้ว,Not Match,C2
C2_SS_KMK_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000083,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,b5c1a665-b7d7-11ea-a230-ac8d34d0c492,"NE=3145920,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,สฟฟ.เขาไม้แก้ว,Not Match,C2
C2_SS_KMK_NE08_1,NE08E-S6,NED2EX2S 0/2,,NEDD000EX2S0,1,7,2,NED2EX2S REV D,--,210305645310H6000089,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,b5c1a666-b7d7-11ea-a230-ac8d34d0c492,"NE=3145920,FR=1,S=7,CP=-1,SS=2,SC=-1",,0,Ph#1,สฟฟ.เขาไม้แก้ว,Not Match,C2
C1_SS_SNO_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000079,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,b8037f38-b7d7-11ea-a230-ac8d34d0c492,"NE=3145748,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.ไทรน้อย,Not Match,C1
C1_SS_SNO_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000341,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,b8037f39-b7d7-11ea-a230-ac8d34d0c492,"NE=3145748,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.ไทรน้อย,Not Match,C1
