Frame Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save Time: 2025-05-15 12:21:40 User Name: tempuno,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total records: 653,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Name,Subrack Name,Subrack Type,NE ID,NE IP Address,Software Version,SN(Bar Code),Subnet,Subnet Path,Subrack ID,Subrack Status,Subrack Alias,PN(BOM Code),Description,Manufactured On,Equipment Room Name,Rack Name,Subrack Number,Remarks,Custom Label,resId,nativeId,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,Region
C2_SS_PYT_NE08_1,NE08E frame,NE08E Frame,,10.10.52.138,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900016,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d12a-ac06-11ea-9e76-24a52ca945ea,"NE=3145930,FR=1",,0,Ph#1,สฟฟ.พัทยาใต้,Not Match,C2
C1_SS_NYA_NE08_1,NE08E frame,NE08E Frame,,10.10.50.67,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900091,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d12c-ac06-11ea-9e76-24a52ca945ea,"NE=3145802,FR=1",,0,Ph#1,สฟฟ.นครนายก 1,Not Match,C1
C1_SS_BDA_NE08_1,NE08E frame,NE08E Frame,,10.10.50.15,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900182,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d12d-ac06-11ea-9e76-24a52ca945ea,"NE=3145744,FR=1",,0,Ph#1,สฟฟ.บางกระดี,Not Match,C1
C1_ADDC_EO_AYY_NE8K_4,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,219-36764,10.10.50.192,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102353HHE10L6000039,ROOT,ROOT,1,Normal,NA,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2020-06-15,,,,,,4c01d12e-ac06-11ea-9e76-24a52ca945ea,"NE=3145816,FR=1",,สฟฟ.อยุธยา 2,Ph#4,ศจฟ.กฟก.1,Not Match,C1
C1_SS_BNL_NE08_1,NE08E frame,NE08E Frame,,10.10.50.2,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900081,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f83f-ac06-11ea-9e76-24a52ca945ea,"NE=3145758,FR=1",,0,Ph#1,สฟฟ.บ้านเลน 1,Not Match,C1
C3_EO_SPI_NE08_1,NE08E frame,NE08E Frame,,10.10.54.7,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900235,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f840-ac06-11ea-9e76-24a52ca945ea,"NE=3145782,FR=1",,0,Ph#1,กฟจ.สุพรรณบุรี,Not Match,C3
C1_EO_SBI_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,219-36652,10.10.50.197,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102353HHE10L6000017,ROOT,ROOT,1,Normal,NA,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2020-06-15,,,,,,4c01f847-ac06-11ea-9e76-24a52ca945ea,"NE=3145821,FR=1",,กฟจ.สระบุรี,Ph#4,กฟจ.สระบุรี,Match,C1
New_C1_SS_TYA_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,219-36187,10.10.50.69,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102353HHE10L6000018,ROOT,ROOT,1,Normal,,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2020-06-15,,,,,,4c01f849-ac06-11ea-9e76-24a52ca945ea,"NE=3145804,FR=1",,สฟฟ.ธัญบุรี,Ph#4,สฟฟ.ธัญบุรี,Match,C1
C1_EO_WNN_NE08_1,NE08E frame,NE08E Frame,,10.10.51.76,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900063,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f84a-ac06-11ea-9e76-24a52ca945ea,"NE=3145849,FR=1",,0,Ph#1,กฟอ.วังน้ำเย็น,Not Match,C1
C3_SS_SLY_NE08_1,NE08E frame,NE08E Frame,,10.10.54.73,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900167,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f84d-ac06-11ea-9e76-24a52ca945ea,"NE=3145796,FR=1",,0,Ph#1,สฟฟ.ศาลายา,Not Match,C3
